SAMPLES,STRUCTURE,INTERCEPT,TOPIC_1,TOPIC_2,SIGMA,TP,FP,TN,FN,PRECISION,RECALL,F1,ACCURACY
100,STG,0.7016890651921063,0.1586501334362332,0.9313570043140813,1.2794565297055267,3,2,0,0,0.6,1,0.7499999999999999,0.6
100,IFG,0.8319700124970173,-0.2721839010897077,0.1475042989582444,0.6835826362367224,2,3,0,0,0.4,1,0.5714285714285714,0.4
500,STG,0.886836976490722,-0.9770099560908412,0.22748557779315776,0.5727769034750495,3,0,2,0,1,1,1,1
500,IFG,0.4930399921024081,0.9458216288995724,-0.9553031920753174,0.31861438410974097,2,0,3,0,1,1,1,1
1000,STG,0.004846719934693558,-0.9468672814176633,-0.14496757147462075,0.4359921525399024,0,0,2,3,NaN,0,NaN,0.4
1000,IFG,-0.9125359457910704,0.9774856184710214,-0.8951635294173664,0.3343922669018913,2,0,3,0,1,1,1,1
2500,STG,-0.5374851697259034,0.9912213055055952,0.14533462655983426,0.6060064429231371,0,0,2,3,NaN,0,NaN,0.4
2500,IFG,0.23878246003943424,0.9150045490458065,-0.6934030905566886,0.36922876242285374,2,1,2,0,0.6666666666666666,1,0.8,0.8
5000,STG,0.5116753748537015,0.9120709605793634,-0.008784121448015686,0.5112613833157041,0,0,2,3,NaN,0,NaN,0.4
5000,IFG,-0.49255115050274356,0.9534736427567397,-0.8987595584039587,0.7551111828481274,0,3,0,2,0,0,0,0
7500,STG,0.0970215628447757,-0.7972718504601424,0.9320947755609323,0.2429229457435518,3,0,2,0,1,1,1,1
7500,IFG,0.4698120874566533,0.976615476136005,-0.9664371999701695,0.2407172130784376,0,0,3,2,NaN,0,NaN,0.6
10000,STG,0.3531102082131057,-0.28993478780867776,0.9941798002745267,0.3799419870334387,3,2,0,0,0.6,1,0.7499999999999999,0.6
10000,IFG,-0.04121383654349951,0.9869551139405108,-0.9966688822830994,0.15731278111046632,0,2,1,2,0,0,0,0.2
1,STG,0.6657457582996884,-0.4204988251745698,-0.8491239862142135,1.1678299097516627,0,2,0,3,0,0,0,0
1,IFG,0.5146863889387356,-0.5100266973536849,-0.879748719795542,0.062467259332920744,2,0,3,0,1,1,1,1
5,STG,0.5544826128168521,0.595067290154632,-0.6233185266893193,0.4403344956637213,1,2,0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2
5,IFG,-0.08593856265585134,-0.230956237282693,0.9379997372744233,0.07276855973319485,0,3,0,2,0,0,0,0
10,STG,0.39726344508663214,0.38793421293716035,0.9784651265666546,0.5212010809642382,3,2,0,0,0.6,1,0.7499999999999999,0.6
10,IFG,-0.809666591446633,-0.5905092977286848,-0.32634486238274646,0.4430030534204455,0,0,3,2,NaN,0,NaN,0.6
50,STG,0.4054334302228691,0.333880217427989,0.5463176456201329,0.562457672839598,3,2,0,0,0.6,1,0.7499999999999999,0.6
50,IFG,0.4516142763414128,-0.11933291601678014,0.17309375324074566,0.9581824544445458,2,3,0,0,0.4,1,0.5714285714285714,0.4
100,STG,0.27998829572376965,-0.14070285058915294,0.8326287911297585,1.1846896659967534,3,2,0,0,0.6,1,0.7499999999999999,0.6
100,IFG,0.5267429325823911,0.9205108985194683,-0.9877152259462156,0.9415575619001163,2,3,0,0,0.4,1,0.5714285714285714,0.4
500,STG,0.015170489360843725,-0.3216963519614499,0.9882251139704332,0.8540254006725774,3,0,2,0,1,1,1,1
500,IFG,-0.49703517299139344,0.23562954569328176,0.35103828173607915,0.5970755103387055,2,0,3,0,1,1,1,1
1000,STG,-0.9307400454583374,-0.9038124202515001,0.6580896121256627,0.5260294092536208,2,0,2,1,1,0.6666666666666666,0.8,0.8
1000,IFG,-0.7084469554008718,0.6775127304031955,0.001005508078430778,0.44853383324823626,0,0,3,2,NaN,0,NaN,0.6
2500,STG,0.13110484457597232,-0.01569708132329002,0.925185893561161,0.3254877076572612,3,0,2,0,1,1,1,1
2500,IFG,-0.4147713676250695,0.8773391191530419,0.9429346598948483,0.32279144057464004,2,3,0,0,0.4,1,0.5714285714285714,0.4
5000,STG,0.6526250524093844,-0.9923980034268867,0.9251206164941569,0.3022687505953063,3,0,2,0,1,1,1,1
5000,IFG,-0.030718668787788155,0.7152155069281703,-0.6497227436719597,0.3115586756182718,2,0,3,0,1,1,1,1
7500,STG,0.4075820645786633,-0.7147793263951923,0.9734559207720197,0.43759844589772867,3,0,2,0,1,1,1,1
7500,IFG,-0.06342532180006172,0.9557596953876113,-0.9050419111767146,0.4161747841357118,0,0,3,2,NaN,0,NaN,0.6
10000,STG,0.6829239295652079,-0.9641117624298774,0.9042967948286065,0.2815576425626184,3,2,0,0,0.6,1,0.7499999999999999,0.6
10000,IFG,-0.8560637450302871,-0.3724913642456399,-0.8059959705882858,0.47221523846858793,2,3,0,0,0.4,1,0.5714285714285714,0.4
1,STG,0.7225118836337847,-0.5896398439528636,0.8046234793329821,1.0994105182604734,3,2,0,0,0.6,1,0.7499999999999999,0.6
1,IFG,0.563742822920978,0.13288447615511867,-0.09535927338656602,1.5668943406900613,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,-0.2618424138851216,0.3680246158118979,-0.7000724271048995,1.6341789564079443,0,0,2,3,NaN,0,NaN,0.4
5,IFG,-0.4562528628388307,-0.01513522387893397,-0.2817165538013704,0.5488281149826928,0,0,3,2,NaN,0,NaN,0.6
10,STG,-0.20119041427277373,-0.9433903220022835,-0.579848322263376,0.4403869074704937,0,0,2,3,NaN,0,NaN,0.4
10,IFG,-0.9379541223306018,0.4221181690179632,-0.0828620618435702,1.571955136467316,0,0,3,2,NaN,0,NaN,0.6
50,STG,0.5008677751168142,-0.10686368798657443,0.9957775237773462,0.6202970083432302,3,2,0,0,0.6,1,0.7499999999999999,0.6
50,IFG,-0.6977984694992316,-0.25497039980204017,-0.9654696140719664,1.3386070681456368,0,0,3,2,NaN,0,NaN,0.6
100,STG,0.282571165463987,0.18253130653733984,0.7411817893316408,0.7739283390200652,3,0,2,0,1,1,1,1
100,IFG,-0.8376132538342391,-0.8500623264675875,-0.39780891602458596,0.5929686614860389,0,0,3,2,NaN,0,NaN,0.6
500,STG,-0.5060424146334391,0.014133551838068775,0.742910098246769,0.6089369117266755,3,0,2,0,1,1,1,1
500,IFG,0.8769169354651237,-0.9811152046951013,0.43476707881209997,0.7871122499548135,0,3,0,2,0,0,0,0
1000,STG,-0.13724384955265156,-0.8031906811212619,0.8929611984621291,0.3568533002441463,3,2,0,0,0.6,1,0.7499999999999999,0.6
1000,IFG,0.20620935522482425,-0.9696835105375837,-0.9954560928112375,0.45743475537712097,2,0,3,0,1,1,1,1
2500,STG,0.6653442225837759,-0.9519858912321526,0.9000673858127124,0.29689051107260467,3,0,2,0,1,1,1,1
2500,IFG,0.1387006142444765,0.2296203317638742,-0.39496312644888787,0.4234057515975865,2,0,3,0,1,1,1,1
5000,STG,0.07307823405503933,-0.9726319143889058,0.9803416943674915,0.24313984696983948,3,0,2,0,1,1,1,1
5000,IFG,-0.29338341675931756,0.6941279461391302,0.6129539765636534,0.2591246476076763,2,0,3,0,1,1,1,1
7500,STG,0.7447504883758862,-0.5791878830453667,0.8102738663013873,0.20923238496375407,3,2,0,0,0.6,1,0.7499999999999999,0.6
